model,layer,run,role,best_wasserstein,best_epoch,last_metric_epoch,max_qq_epoch,strict_epoch_4000,user_confirmed_override
ZZ,1,0,middle,0.0019217785120149433,1975,4000.0,,True,False
ZZ,1,1,best,0.0019003640105849547,2725,4000.0,,True,False
ZZ,1,2,worst,0.001944167445264191,1880,4000.0,,True,False
ZZ,2,0,worst,0.005548694733565916,495,4000.0,,True,False
ZZ,2,1,best,0.0040192899836370465,2610,4000.0,,True,False
ZZ,2,2,middle,0.005462334362067593,1190,4000.0,,True,False
ZZ,3,0,worst,0.0017714918178209746,460,4000.0,,True,False
ZZ,3,1,best,0.0011545473706202228,2295,4000.0,,True,False
ZZ,3,2,middle,0.0015145984580893623,3395,4000.0,,True,False
ZZ,4,0,middle,0.0029033651959131943,315,4000.0,,True,False
ZZ,4,1,worst,0.004191083117367807,1175,4000.0,,True,False
ZZ,4,2,best,0.0027042218023912764,3895,4000.0,,True,False
ZZ-CRX,1,0,best,0.0022166756664096566,180,4000.0,,True,False
ZZ-CRX,1,1,middle,0.0023440257604173944,515,4000.0,,True,False
ZZ-CRX,1,2,worst,0.002413428760202641,1100,4000.0,,True,False
ZZ-CRX,2,0,worst,0.005117518472851163,2500,4000.0,,True,False
ZZ-CRX,2,1,best,0.002563665784637439,3485,4000.0,,True,False
ZZ-CRX,2,2,middle,0.003014003785137688,1415,4000.0,,True,False
ZZ-CRX,3,0,worst,0.017181249985246172,760,4000.0,,True,False
ZZ-CRX,3,1,middle,0.004228698474661506,3880,4000.0,,True,False
ZZ-CRX,3,2,best,0.0019952526427045878,1470,4000.0,,True,False
ZZ-CRX,4,0,middle,0.005828857992624389,3880,4000.0,,True,False
ZZ-CRX,4,1,worst,0.013066179227572219,3975,4000.0,,True,False
ZZ-CRX,4,2,best,0.0021849895486485134,3400,4000.0,,True,False
ZZ time evolution,1,0,middle,0.0019217785120149433,1975,4000.0,,True,False
ZZ time evolution,1,1,best,0.0019003640105849547,2725,4000.0,,True,False
ZZ time evolution,1,2,worst,0.001944167445264191,1880,4000.0,,True,False
ZZ time evolution,2,0,worst,0.002278079238196207,170,4000.0,,True,False
ZZ time evolution,2,1,best,0.0013932473647475436,1210,4000.0,,True,False
ZZ time evolution,2,2,middle,0.0016689765764956476,3365,4000.0,,True,False
ZZ time evolution,3,0,best,0.001339578352724651,220,4000.0,,True,False
ZZ time evolution,3,1,worst,0.00969138091311036,3950,4000.0,,True,False
ZZ time evolution,3,2,middle,0.0024161596785540066,3825,4000.0,,True,False
ZZ time evolution,4,0,middle,0.0014384260958236134,1975,4000.0,,True,False
ZZ time evolution,4,1,worst,0.011389630940581812,2545,4000.0,,True,False
ZZ time evolution,4,2,best,0.0010118813527815692,260,4000.0,,True,False
HEA,1,0,best,0.0031225758220649975,850,4000.0,,True,False
HEA,1,1,worst,0.003820997163081083,1150,4000.0,,True,False
HEA,1,2,middle,0.0036966155755600695,360,4000.0,,True,False
HEA,2,0,worst,0.0012795904991259465,1530,4000.0,,True,False
HEA,2,1,best,0.000826059270095899,1470,4000.0,,True,False
HEA,2,2,middle,0.0010287221659628285,220,4000.0,,True,False
HEA,3,0,middle,0.0008177877303186063,275,4000.0,,True,False
HEA,3,1,best,0.0007536539285173491,695,4000.0,,True,False
HEA,3,2,worst,0.000907913624578634,345,4000.0,,True,False
HEA,4,0,best,0.0008584116457325815,3415,3900.0,,False,True
HEA,4,1,worst,0.0010072488284138437,3185,4000.0,,True,False
HEA,4,2,middle,0.000982381225965466,3625,4000.0,,True,False
