configuration,family,width,run,seed,generator_parameters,best_wasserstein,best_epoch,checkpoint_selecting_batch_wasserstein,evaluation_marginal_wasserstein,fresh_wasserstein_median,fresh_wasserstein_std,fresh_wasserstein_min,fresh_wasserstein_max,qq_rmse,abs_acf_discrepancy_mae_lags_1_4,acf_discrepancy_mae_lags_1_4,leverage_discrepancy_mae_lags_1_4,n_generated_windows,performance_role
TCNN-2,TCNN,2.0,0,2,29,0.0008693049096477411,275,0.0008570675775841784,0.0008343789314739173,0.0008340302856992571,1.872114662042597e-05,0.0008052721006380158,0.0008681597755010162,0.0020335002392587592,0.10737637420710627,0.09595150852010481,0.011809340445252905,10000,best
TCNN-2,TCNN,2.0,1,42,29,0.0012567592712326913,1155,0.0012616566853817755,0.0014201427905216023,0.0014229177369063407,2.9574830356334854e-05,0.001364211967945703,0.0014685581608305841,0.0022114704426580978,0.0834640910527072,0.0609680238108259,0.010446150029210852,10000,worst
TCNN-2,TCNN,2.0,2,100,29,0.000962790200523049,3890,0.0009531953917074956,0.0013500796407990771,0.0013504494972859152,4.718131672259345e-05,0.0012337999389646112,0.0014218104490142684,0.0027144841608048404,0.09603640585582485,0.027615673736668997,0.014600568550152793,10000,middle
TCNN-4,TCNN,4.0,0,2,81,0.0009476300668968287,3050,0.0009350706766632389,0.0011365468818836024,0.0011347057741062394,2.3089470391086744e-05,0.0010769655557874768,0.001173244823775656,0.002031940049846252,0.03997446464208993,0.02319469221396876,0.007675606702533987,10000,worst
TCNN-4,TCNN,4.0,1,42,81,0.0008319552967625099,3480,0.0008386668873882068,0.0010155685933758458,0.0010102681356123637,3.386520851093871e-05,0.0009583748624067919,0.0010693932198416766,0.0019486924590060694,0.07603398867998751,0.03139676184807426,0.0018931291808818693,10000,middle
TCNN-4,TCNN,4.0,2,100,81,0.0008268158601495575,455,0.0008266799634038494,0.0009438625447942694,0.0009439908336190239,2.6174050171169252e-05,0.0009078428201777903,0.0010013639638906404,0.0025098843004452147,0.06611038820008452,0.05343319768679962,0.01564195659390503,10000,best
TCNN-6,TCNN,6.0,0,2,157,0.0007383128314336382,1425,0.0007464173525280171,0.0008585468995222437,0.0008529367557245128,2.7859130165204108e-05,0.0008018829790946557,0.0009257679754684579,0.001996969755712894,0.0714007115611688,0.02496081207653428,0.011509896217349075,10000,best
TCNN-6,TCNN,6.0,1,42,157,0.0006990262805886643,3725,0.0007045895945673769,0.0008867263606601318,0.0008887572594613258,2.5459377802007108e-05,0.0008518420787543975,0.0009491170577475414,0.0017168977751181782,0.0726924600084528,0.006918669271663715,0.008340293609833684,10000,worst
TCNN-6,TCNN,6.0,2,100,157,0.0007193009644944131,2130,0.0007195429639810895,0.0008632574898172513,0.0008603084608366807,3.309341644904043e-05,0.0008010981862014888,0.0009132767276886384,0.0021707904767224993,0.07947458082555017,0.015826643665609992,0.00847177793122726,10000,middle
TCNN-8,TCNN,8.0,0,2,257,0.0010454567716495803,3385,0.0010358141988059673,0.0013055445720203734,0.0013118635995339922,3.0486860671297085e-05,0.001240946504655826,0.001345862485432621,0.002506546148182373,0.08274337679853502,0.013149081658152841,0.014584099423542477,10000,middle
TCNN-8,TCNN,8.0,1,42,257,0.0023242200037782027,3985,0.0023155270031444027,0.0025129592455028446,0.002521008653848039,2.6855670034621393e-05,0.002467158104264591,0.0025767893663116775,0.004807635847668388,0.06464042816635611,0.013922334136165487,0.012663941259809313,10000,worst
TCNN-8,TCNN,8.0,2,100,257,0.000776891296042211,3285,0.0007696730187793776,0.0009606056637737776,0.0009595544972941738,3.7823973174013624e-05,0.0008994684046800944,0.0010386525982584412,0.0024464950402649506,0.09590981183543902,0.04291186531626125,0.013760313927142364,10000,best
Two-parameter,two-parameter,,0,2,2,0.005191835285171538,2845,0.005176444578580956,0.005305438486767552,0.005304074572669805,2.240089573116724e-05,0.005269257836962887,0.005350001781089421,0.009749118033361434,0.07260955158167198,0.10574082407530164,0.008995869557505047,10000,best
Two-parameter,two-parameter,,1,42,2,0.005953835179824886,1645,0.005940145010870102,0.006070474049619137,0.006071125951439669,1.4878047746220115e-05,0.006046017642840292,0.006095489621737722,0.012424800449889696,0.07412942066137201,0.05996860657045842,0.012748515233258885,10000,middle
Two-parameter,two-parameter,,2,100,2,0.006116073269555124,3030,0.006100841818794541,0.00624513887516178,0.006248939159705326,1.9426661903904377e-05,0.006216612597502465,0.006274695041025753,0.01248413322169819,0.0858734816695344,0.036059829512992206,0.01221358803357739,10000,worst
